0.9504,1.0000,0.1520,1.0000,0.1520,0.7756,0.9504,1.0000,0.1520,1.0000,0.1520,0.7756,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3820,0.6680,1.0000,0.8180,0.3820,0.7170,0.6662,0.8340,0.5760,0.9090,0.2670,0.7463,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8838,0.0896,0.4476,1.0000,0.0896,0.6052,0.7387,0.5859,0.5332,0.9393,0.2079,0.6993,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1368,0.5576,0.9328,0.7022,0.1368,0.5823,0.5882,0.5788,0.6331,0.8800,0.1901,0.6700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.4358,0.3666,0.5334,0.7520,0.3666,0.5219,0.5578,0.5364,0.6132,0.8544,0.2254,0.6404,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.2052,0.3526,0.9594,0.8518,0.2052,0.5922,0.4990,0.5057,0.6709,0.8540,0.2220,0.6324,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1478,0.5354,0.7610,0.5452,0.1478,0.4973,0.4488,0.5100,0.6837,0.8099,0.2114,0.6131,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1642,0.9064,0.7606,1.0000,0.1642,0.7078,0.4133,0.5595,0.6934,0.8337,0.2055,0.6249,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0096,1.0000,0.9922,0.0000,0.0000,0.5005,0.3684,0.6085,0.7266,0.7410,0.1827,0.6111,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4316,0.6476,0.7539,0.7669,0.2644,0.6500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9780,0.8586,0.9740,1.0000,0.8586,0.9526,0.4812,0.6668,0.7739,0.7881,0.3184,0.6775,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,0.0000,0.2088,0.0000,0.5522,0.5245,0.6946,0.7094,0.7398,0.2919,0.6671,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.5696,0.6234,1.0000,0.9768,0.5696,0.7925,0.5279,0.6891,0.7318,0.7581,0.3133,0.6767,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9842,0.0488,0.9872,0.9816,0.0488,0.7504,0.5605,0.6434,0.7500,0.7740,0.2944,0.6820,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.4770,0.0988,1.0000,0.9354,0.0988,0.6278,0.5550,0.6071,0.7667,0.7848,0.2813,0.6784,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0524,0.6444,0.3950,1.0000,0.0524,0.5230,0.5236,0.6094,0.7434,0.7982,0.2670,0.6687,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0318,1.0000,0.9726,1.0000,0.0318,0.7511,0.4946,0.6324,0.7569,0.8101,0.2532,0.6735,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9868,0.8358,0.0986,0.8760,0.0986,0.6993,0.5220,0.6437,0.7204,0.8138,0.2446,0.6749,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0944,0.9752,0.9370,0.0370,0.0370,0.5109,0.4995,0.6611,0.7318,0.7729,0.2337,0.6663,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,0.5082,0.1028,0.1028,0.6527,0.5245,0.6781,0.7206,0.7394,0.2271,0.6656,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.2852,0.9356,0.3772,0.9988,0.2852,0.6492,0.5131,0.6903,0.7042,0.7517,0.2299,0.6648,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,0.5630,0.9436,0.5630,0.8766,0.5352,0.7044,0.6978,0.7605,0.2450,0.6745,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9090,1.0000,0.1886,0.2472,0.1886,0.5862,0.5515,0.7173,0.6757,0.7381,0.2426,0.6706,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9736,1.0000,0.2660,1.0000,0.2660,0.8099,0.5691,0.7290,0.6586,0.7490,0.2436,0.6764,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7046,0.9944,1.0000,1.0000,0.7046,0.9247,0.5745,0.7396,0.6723,0.7591,0.2620,0.6864,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1188,0.8700,0.8238,0.3252,0.1188,0.5344,0.5570,0.7447,0.6781,0.7424,0.2565,0.6805,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.2682,0.8010,0.9406,0.1954,0.1954,0.5513,0.5463,0.7467,0.6878,0.7221,0.2542,0.6757,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9938,0.3560,0.1054,0.9332,0.1054,0.5971,0.5623,0.7328,0.6670,0.7297,0.2489,0.6729,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,0.9722,0.4812,1.0000,0.4812,0.8633,0.5773,0.7410,0.6606,0.7390,0.2569,0.6795,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3058,0.4182,0.8362,0.8730,0.3058,0.6083,0.5683,0.7303,0.6665,0.7435,0.2586,0.6771,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,0.7886,0.7118,0.9602,0.7118,0.8651,0.5822,0.7322,0.6679,0.7505,0.2732,0.6832,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,0.9310,0.9996,0.5826,0.5826,0.8783,0.5953,0.7384,0.6783,0.7452,0.2828,0.6893,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6075,0.7463,0.6880,0.7529,0.3046,0.6987,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6546,1.0000,1.0000,1.0000,0.6546,0.9136,0.6089,0.7538,0.6972,0.7602,0.3149,0.7050,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.9852,0.8718,0.3512,0.8712,0.3512,0.7698,0.6197,0.7571,0.6873,0.7634,0.3159,0.7069,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
